M-party BSP-OTP protocol, relocation-maximising adversary, 5 seeds each

  m  d        N |  J(max)  bound |  J<=bound? epoch==m/2-1? mono? |   alpha
  4  1     4096 |       9      9 |       True          True  True |   0.996
  4  1    16384 |      11     11 |       True          True  True |   0.999
  4  1    65536 |      13     13 |       True          True  True |   1.000
  4  2     4096 |       8      9 |       True          True  True |   0.994
  4  2    16384 |      10     11 |       True          True  True |   0.998
  4  2    65536 |      12     13 |       True          True  True |   0.999
  4  4     4096 |       8      8 |       True          True  True |   0.989
  4  4    16384 |      10     10 |       True          True  True |   0.997
  4  4    65536 |      12     12 |       True          True  True |   0.999

  8  1     4096 |      24     24 |       True          True  True |   0.991
  8  1    16384 |      30     30 |       True          True  True |   0.997
  8  1    65536 |      36     36 |       True          True  True |   0.999
  8  2     4096 |      21     24 |       True          True  True |   0.984
  8  2    16384 |      27     30 |       True          True  True |   0.995
  8  2    65536 |      33     36 |       True          True  True |   0.999
  8  4     4096 |      21     21 |       True          True  True |   0.973
  8  4    16384 |      27     27 |       True          True  True |   0.992
  8  4    65536 |      33     33 |       True          True  True |   0.998

 16  1     4096 |      49     49 |       True          True  True |   0.982
 16  1    16384 |      63     63 |       True          True  True |   0.995
 16  1    65536 |      77     77 |       True          True  True |   0.998
 16  2     4096 |      42     49 |       True          True  True |   0.967
 16  2    16384 |      56     63 |       True          True  True |   0.990
 16  2    65536 |      70     77 |       True          True  True |   0.997
 16  4     4096 |      42     42 |       True          True  True |   0.946
 16  4    16384 |      56     56 |       True          True  True |   0.983
 16  4    65536 |      70     70 |       True          True  True |   0.995

 32  1     4096 |      90     90 |       True          True  True |   0.965
 32  1    16384 |     120    120 |       True          True  True |   0.990
 32  1    65536 |     150    150 |       True          True  True |   0.997
 32  2     4096 |      75     90 |       True          True  True |   0.937
 32  2    16384 |     105    120 |       True          True  True |   0.981
 32  2    65536 |     135    150 |       True          True  True |   0.994
 32  4     4096 |      75     75 |       True          True  True |   0.899
 32  4    16384 |     105    105 |       True          True  True |   0.967
 32  4    65536 |     135    135 |       True          True  True |   0.990

 64  1     4096 |     155    155 |       True          True  True |   0.937
 64  1    16384 |     217    217 |       True          True  True |   0.980
 64  1    65536 |     279    279 |       True          True  True |   0.994
 64  2     4096 |     124    155 |       True          True  True |   0.885
 64  2    16384 |     186    217 |       True          True  True |   0.964
 64  2    65536 |     248    279 |       True          True  True |   0.989
 64  4     4096 |     124    124 |       True          True  True |   0.823
